,municipios_ibge
1514,2604502
1515,2604601
1516,2604700
1517,2604809
1518,2604908
1519,2605004
1520,2605103
1521,2605152
1522,2605202
1523,2605301
1524,2605400
1525,2605459
1526,2605509
1527,2605608
1528,2605707
1529,2605806
1530,2605905
1531,2606002
1532,2606101
1533,2606200
1534,2606309
1535,2606408
1536,2606507
1537,2606606
1538,2606705
1539,2606804
1540,2606903
1541,2607000
1542,2607109
1543,2607208
1544,2607307
1545,2607406
1546,2607505
1547,2607604
1548,2607653
1549,2607703
1550,2607752
1551,2607802
1552,2607901
1553,2607950
1554,2608008
1555,2608057
1556,2608107
1557,2608206
1558,2608255
1559,2608305
1560,2608404
1561,2608453
1562,2608503
1563,2608602
1564,2608701
1565,2608750
1566,2608800
1567,2608909
1568,2609006
1569,2609105
1570,2609154
1571,2609204
1572,2609303
1573,2609402
1574,2609501
1575,2609600
1576,2609709
1577,2609808
1578,2609907
1579,2610004
1580,2610103
1581,2610202
1582,2610301
1583,2610400
1584,2610509
1585,2610608
1586,2610707
1587,2610806
1588,2610905
1589,2611002
1590,2611101
1591,2611200
1592,2611309
1593,2611408
1594,2611507
1595,2611533
1596,2611606
1597,2611705
1598,2611804
1599,2611903
1600,2612000
1601,2612109
1602,2612208
1603,2612307
1604,2612406
1605,2612455
1606,2612471
1607,2612505
1608,2612554
1609,2612604
1610,2612703
1611,2612802
1612,2612901
1613,2613008
1614,2613107
1615,2613206
1616,2613305
1617,2613404
1618,2613503
1619,2613602
1620,2613701
1621,2613800
1622,2613909
1623,2614006
1624,2614105
1625,2614204
1626,2614303
1627,2614402
1628,2614501
1629,2614600
1630,2614709
1631,2614808
1632,2614857
1633,2615003
1634,2615102
1635,2615201
1636,2615300
1637,2615409
1638,2615508
1639,2615607
1640,2615706
1641,2615805
1642,2615904
1643,2616001
1644,2616100
1645,2616183
1646,2616209
1647,2616308
1648,2616407
1649,2616506
1650,2700102
1651,2700201
1652,2700300
1653,2700409
1654,2700508
1655,2700607
1656,2700706
1657,2700805
1658,2700904
1659,2701001
1660,2701100
1661,2701209
1662,2701308
1663,2701357
1664,2701407
1665,2701506
1666,2701605
1667,2701704
1668,2701803
1669,2701902
1670,2702009
1671,2702108
1672,2702207
1673,2702306
1674,2702355
1675,2702405
1676,2702504
1677,2702553
1678,2702603
1679,2702702
1680,2702801
1681,2702900
1682,2703007
1683,2703106
1684,2703205
1685,2703304
1686,2703403
1687,2703502
1688,2703601
1689,2703700
1690,2703759
1691,2703809
1692,2703908
1693,2704005
1694,2704104
1695,2704203
1696,2704302
1697,2704401
1698,2704500
1699,2704609
1700,2704708
1701,2704807
1702,2704906
1703,2705002
1704,2705101
1705,2705200
1706,2705309
1707,2705408
1708,2705507
1709,2705606
1710,2705705
1711,2705804
1712,2705903
1713,2706000
1714,2706109
1715,2706208
1716,2706307
1717,2706406
1718,2706422
1719,2706448
1720,2706505
1721,2706604
1722,2706703
1723,2706802
1724,2706901
1725,2707008
1726,2707107
1727,2707206
1728,2707305
1729,2707404
1730,2707503
1731,2707602
1732,2707701
1733,2707800
1734,2707909
1735,2708006
1736,2708105
1737,2708204
1738,2708303
1739,2708402
1740,2708501
1741,2708600
1742,2708709
1743,2708808
1744,2708907
1745,2708956
1746,2709004
1747,2709103
1748,2709152
1749,2709202
1750,2709301
1751,2709400
1752,2800100
1753,2800209
1754,2800308
1755,2800407
1756,2800506
1757,2800605
1758,2800670
1759,2800704
1760,2801009
1761,2801108
1762,2801207
1763,2801306
1764,2801405
1765,2801504
1766,2801603
1767,2801702
1768,2801900
1769,2802007
1770,2802106
1771,2802205
1772,2802304
1773,2802403
1774,2802502
1775,2802601
1776,2802700
1777,2802809
1778,2802908
1779,2803005
1780,2803104
1781,2803203
1782,2803302
1783,2803401
1784,2803500
1785,2803609
1786,2803708
1787,2803807
1788,2803906
1789,2804003
1790,2804102
1791,2804201
1792,2804300
1793,2804409
1794,2804458
1795,2804508
1796,2804607
1797,2804706
1798,2804805
1799,2804904
1800,2805000
1801,2805109
1802,2805208
1803,2805307
1804,2805406
